"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",-8.21879920566803,-6.46399738484413,-5.3769284534715,-4.82825810654695,-4.40137668190963,-3.94436283974964,-3.65173347373423,-3.38198867428296,-3.1299457816369,-2.92723399941758,-2.7238468575708
"2",-2.63840894886114,-2.48200642253464,-2.31313705897431,-2.16158988867944,-2.05060940983075,-1.93327982273469,-1.83088643795918,-1.73902482138808,-1.65592416656797,-1.57801920700173,-1.50828922410201
"3",-1.44417232095033,-1.38461341558818,-1.33159477040751,-1.28119220803419,-1.23555645111465,-1.19208561032307,-1.1516919785092,-1.11338228275308,-1.07765602703416,-1.04406758798196,-1.01259790502008
"4",-0.983636744641902,-0.955994156684503,-0.929639785430873,-0.904578708058906,-0.881405933882751,-0.858941020347632,-0.837484056840567,-0.817180634664814,-0.797767748439717,-0.779253980164661,-0.761838881698978
"5",-0.745229700319826,-0.729335518265186,-0.713893662585342,-0.700455925679512,-0.686194326028228,-0.672543128714194,-0.659788963425087,-0.64710740050442,-0.635062835206756,-0.623331714027756,-0.612025166832523
"6",-0.601175618105736,-0.590952675969324,-0.581118253633944,-0.571666938242958,-0.562309008381054,-0.553328293360232,-0.544427941771663,-0.535792330905008,-0.527426257522729,-0.519337899371023,-0.511485475410886
"7",-0.503851431657606,-0.496459916064338,-0.489278455448606,-0.482322062917698,-0.475577412951864,-0.468987632818777,-0.462590056736471,-0.456364121461048,-0.450348599060947,-0.444446455891894,-0.438689754754234
"8",-0.43306576601985,-0.427617876574048,-0.42241162478437,-0.41721827179644,-0.412171601445013,-0.407221735968406,-0.402382128335924,-0.397669337249142,-0.393073091642443,-0.388583299499264,-0.384202220935253
"9",-0.38015327383275,-0.376105189550205,-0.372041735021878,-0.368021617820723,-0.36410108857942,-0.36023348679972,-0.356466050509658,-0.352764303146837,-0.34915331497317,-0.34563145533048,-0.342164512551437
"10",-0.338763520840044,-0.335475451448525,-0.332363924982629,-0.329173281798225,-0.326042941182373,-0.322979143585063,-0.319945140887874,-0.317005235337922,-0.314177847855748,-0.311324658086746,-0.30860163597716
"11",-0.30605779547811,-0.303348482394923,-0.300897404909329,-0.298271888785468,-0.295861627894397,-0.293495306159924,-0.29104660729286,-0.28859327296354,-0.286197553533086,-0.283845866788272,-0.281530564421453
