"","Generation","Najlepszy_wynik","Średnia","Mediana"
"1",1,-10.1132111606365,-20.2133613290154,-20.8912115272034
"2",2,-8.49273452936156,-19.0132321834444,-20.0315147374416
"3",3,-6.315186950769,-17.2980648889631,-18.6430554837341
"4",4,-4.62315391501653,-15.0028263195132,-15.9324813954747
"5",5,-3.50495887786066,-12.4809453509157,-12.5361501942735
"6",6,-2.17914469773413,-9.52413080184507,-9.60252333280364
"7",7,-1.80540322284017,-7.53476960646952,-7.24765799039762
"8",8,-1.60346475740218,-6.0956117818978,-5.94346711354707
"9",9,-1.21441252564126,-5.03138500872249,-4.78028986765331
"10",10,-1.14506596020099,-4.49827117954956,-4.23930788379456
"11",11,-0.923923814366791,-3.96517122652217,-3.8152177380365
"12",12,-0.854662742169866,-3.38510831075501,-3.35090996430706
"13",13,-0.813295740448816,-3.22652880470041,-2.86072441082095
"14",14,-0.80296188391404,-2.82822460760437,-2.69236534526403
"15",15,-0.786791849812391,-2.49105406042109,-2.39272741232249
"16",16,-0.71664723738175,-2.31657422517203,-2.00959210808441
"17",17,-0.70057356259801,-2.22766035658591,-1.89456396837122
"18",18,-0.696410365305177,-2.17752205088547,-1.76873036841432
"19",19,-0.696410365305177,-1.84705359700269,-1.66522365308296
"20",20,-0.690927729763379,-1.65443825059484,-1.58231359196826
"21",21,-0.690764095186007,-1.61079162588892,-1.46014368598442
"22",22,-0.685732006925921,-1.48632546611798,-1.38064102286715
"23",23,-0.679038213506835,-1.55234375531177,-1.29163224789052
"24",24,-0.678818950005308,-1.53688202468563,-1.22204862427561
"25",25,-0.678818950005308,-1.42251131583341,-1.17401974087142
"26",26,-0.678818950005308,-1.31768933709315,-1.13775186904336
"27",27,-0.678727968294456,-1.42042357912943,-1.09452983927216
"28",28,-0.678727968294456,-1.52670863654864,-1.09899281600521
"29",29,-0.600074545243191,-1.40030945846581,-1.12540527517797
"30",30,-0.564344223268403,-1.3748676936847,-1.115182483191
"31",31,-0.56430018466968,-1.56974590785462,-1.09781125274341
"32",32,-0.564299319414224,-1.13176315528529,-1.06616247988362
"33",33,-0.564249802986134,-1.42819791887944,-1.02385685709546
"34",34,-0.564249802986134,-1.33631239248555,-0.992465340078593
"35",35,-0.564249802986134,-1.17100656093591,-0.895679142110949
"36",36,-0.564249802986134,-1.05912228124052,-0.785527708808519
"37",37,-0.564247892366336,-1.19185505530803,-0.769273050457347
"38",38,-0.562439416053662,-1.1127688299369,-0.755974757711408
"39",39,-0.562403715398736,-0.973406690543445,-0.750283108711704
"40",40,-0.561711283799537,-1.05772467144786,-0.734097639171706
"41",41,-0.561711283799537,-0.889513625145326,-0.730681099958306
"42",42,-0.561441229851495,-1.03293986923236,-0.709839923861731
"43",43,-0.561165900856553,-1.13140604192917,-0.698224768714549
"44",44,-0.561162753105439,-1.18210090576961,-0.684699603239284
"45",45,-0.561162753105439,-0.948811607315921,-0.682072416527863
"46",46,-0.561162753105439,-1.11800342102946,-0.67860526813111
"47",47,-0.561162753105439,-0.933289305754286,-0.674810226487732
"48",48,-0.561162753105439,-0.98112392958125,-0.667532455792352
"49",49,-0.561162753105439,-1.037850314055,-0.666469223871669
"50",50,-0.561162753105439,-0.950084803660225,-0.661573888342067
"51",51,-0.561162753105439,-0.831264791937029,-0.644269279783612
"52",52,-0.561101217213306,-1.14114528458184,-0.633369934419281
"53",53,-0.561101217213306,-0.90753940190569,-0.629857135528896
"54",54,-0.561101217213306,-0.939952700000269,-0.623585182321945
"55",55,-0.561101217213306,-1.04172239755133,-0.618563691588547
"56",56,-0.549919142837769,-1.05018848189877,-0.61566917642614
"57",57,-0.395949420468302,-1.04451388557799,-0.614505054406698
"58",58,-0.395949420468302,-0.969256326692723,-0.6125594223584
"59",59,-0.395949420468302,-1.00618670394114,-0.608328067332937
"60",60,-0.387780129068479,-1.06501646463707,-0.60186566582493
"61",61,-0.387780129068479,-0.901382918084725,-0.59845962484957
"62",62,-0.387780129068479,-0.913266699802306,-0.585810631421328
"63",63,-0.387780129068479,-0.98089853340431,-0.584270291236817
"64",64,-0.387780129068479,-0.765395198301711,-0.578321352242846
"65",65,-0.387777552258567,-0.839738897856696,-0.57190301534945
"66",66,-0.387776763424641,-1.01632890363585,-0.568334537094282
"67",67,-0.387554991366208,-0.82186793748113,-0.562932204813569
"68",68,-0.387313920772947,-0.863077981544807,-0.563999991164581
"69",69,-0.387313920772947,-0.935739696976778,-0.559536178609418
"70",70,-0.387313920772947,-0.775848414409271,-0.558235141000437
"71",71,-0.387312926801052,-0.985723902420128,-0.56049300619848
"72",72,-0.387312926801052,-1.0007892493018,-0.557938866972421
"73",73,-0.387312926801052,-1.1049322954331,-0.556835900001019
"74",74,-0.387312926801052,-1.07861925159796,-0.554923044467549
"75",75,-0.387312926801052,-1.12524122720244,-0.554056486259097
"76",76,-0.387312864768015,-0.899875870721259,-0.553607459188612
"77",77,-0.387312864768015,-0.933052699815436,-0.553362929982371
"78",78,-0.387312864768015,-1.10276913449927,-0.55116094513458
"79",79,-0.360807922943013,-1.00932632876879,-0.561354699361765
"80",80,-0.354668051541289,-1.11164439759165,-0.557134398945257
"81",81,-0.354668051541289,-0.837269428820445,-0.558062569780209
"82",82,-0.352642768895234,-0.990675831662783,-0.558132750000324
"83",83,-0.352642768895234,-1.05978650401237,-0.558367075788094
"84",84,-0.351954935332119,-1.0341667569812,-0.547551178526583
"85",85,-0.351380044869494,-0.800686291008574,-0.549466745708376
"86",86,-0.350353709134455,-0.81592026006848,-0.557409601384728
"87",87,-0.349790419455132,-0.653957321732808,-0.560956839001341
"88",88,-0.348101510106354,-0.885771589731702,-0.566033940391242
"89",89,-0.347730768424151,-1.0063114984108,-0.569776177883965
"90",90,-0.34665846079687,-0.903155188805735,-0.569987433925741
"91",91,-0.34665846079687,-1.05069285416182,-0.560764251718958
"92",92,-0.34665673381763,-1.07546542564688,-0.56088013875374
"93",93,-0.346497555725433,-0.773040143940238,-0.561860307785435
"94",94,-0.346497555725433,-0.849183148578772,-0.5666054445488
"95",95,-0.346497555725433,-0.815285920861832,-0.564699281205372
"96",96,-0.346497555725433,-1.27003377952593,-0.562371201383634
"97",97,-0.346497555725433,-0.992867450566322,-0.56346239113204
"98",98,-0.346497555725433,-1.00604589551599,-0.565319260053717
"99",99,-0.346497555725433,-0.835596022048101,-0.543019525428056
"100",100,-0.346497555725433,-0.740848405168875,-0.534677243171282
"101",101,-0.319515501018761,-0.889730582794914,-0.526865734073819
"102",102,-0.319515501018761,-0.890515091648333,-0.517199620569707
"103",103,-0.318846320221502,-0.857854177620637,-0.511608693768366
"104",104,-0.318593670028402,-0.688623848868095,-0.499296041961586
"105",105,-0.233600423772668,-0.758043570027924,-0.483460586942136
"106",106,-0.233539677066384,-0.746706536324583,-0.460949811668282
"107",107,-0.23350869594104,-0.954662752784288,-0.452574748076629
"108",108,-0.23350869594104,-0.691627382062612,-0.424847942080665
"109",109,-0.23350869594104,-0.614299745674711,-0.372551489386505
"110",110,-0.23350869594104,-0.713803086138492,-0.318140013908555
"111",111,-0.23350869594104,-0.464939425611013,-0.315255302905814
"112",112,-0.23350869594104,-1.0422480395992,-0.290002576308319
"113",113,-0.23350869594104,-0.916084366156201,-0.291569157642144
"114",114,-0.23350869594104,-0.662349927013387,-0.27973369107401
"115",115,-0.23350869594104,-0.702091781460032,-0.275529970543637
"116",116,-0.23350869594104,-0.625198642781754,-0.277663785675928
"117",117,-0.23350869594104,-0.524227221698758,-0.27383280286489
"118",118,-0.233459884849794,-0.73568222810674,-0.273370445639861
"119",119,-0.233318853682418,-0.730299621948652,-0.270136660477329
"120",120,-0.233261186044278,-0.582472341176278,-0.261074729459258
"121",121,-0.233261186044278,-0.560579210015288,-0.265179457370092
"122",122,-0.233166319599671,-0.491677417001328,-0.250118426417206
"123",123,-0.233166319599671,-0.585798826857923,-0.241928386291827
"124",124,-0.233166319599671,-0.690296138984608,-0.242930312926942
"125",125,-0.233162398251481,-0.643890544543386,-0.243860947064185
"126",126,-0.233156463642428,-0.532517771099305,-0.245927465838237
"127",127,-0.233109301088199,-0.575734106139934,-0.242372081467322
"128",128,-0.233072805418449,-0.567133744493526,-0.241393276998395
"129",129,-0.233070949621115,-0.451493931411117,-0.241010239953654
"130",130,-0.233069890911354,-0.584162330401531,-0.238777553663507
"131",131,-0.233069890911354,-0.432600204468268,-0.235776870954223
"132",132,-0.23306972418286,-0.509065404327166,-0.235421841945496
"133",133,-0.233069361438654,-0.786176277948869,-0.235450428155717
"134",134,-0.233068455595328,-0.400118272431709,-0.235391933713196
"135",135,-0.233068313564448,-0.703629120333971,-0.234468637916338
"136",136,-0.233068313564448,-0.455298379626814,-0.234290958791068
"137",137,-0.233066296058782,-0.599040899354923,-0.233990738310464
"138",138,-0.233064411691062,-0.597126697848784,-0.233950737192064
"139",139,-0.233064411691062,-0.862271869895063,-0.233725623584537
"140",140,-0.233064411691062,-0.450145275453814,-0.233676087050196
