"","Generation","Najlepszy_wynik","Średnia","Mediana"
"1",1,-9997.20891425644,-182273.125773563,-174035.97434215
"2",2,-2885.09671254328,-93252.3333205305,-74706.743813745
"3",3,-766.581693058518,-47859.2232844801,-38591.497556368
"4",4,-341.869488351591,-24036.8922428865,-19158.5004164019
"5",5,-202.249092282582,-14265.4689201215,-11244.6726841936
"6",6,-117.633055673151,-8539.80089612589,-5972.89185596009
"7",7,-62.8353709128358,-6187.8600846411,-3356.15645801564
"8",8,-56.3042789827287,-5693.37286652309,-2666.88581723351
"9",9,-52.8472070336437,-2612.50054158632,-1789.44511116558
"10",10,-47.9861111311047,-3423.80355869679,-1164.48400641318
"11",11,-45.0252951215577,-4692.63768773969,-880.109195172023
"12",12,-34.6430777252715,-3250.3361921034,-811.837914240152
"13",13,-30.3434945597815,-2602.44846777503,-622.732393934789
"14",14,-30.3434945597815,-1394.57227490041,-567.410479846284
"15",15,-22.2023230995037,-1762.71003524849,-473.389307384051
"16",16,-21.3772031129976,-2724.19233266817,-409.398475404524
"17",17,-20.7846118817566,-2324.07094924128,-320.450876563577
"18",18,-20.1967683164567,-4002.49082879688,-252.824595491263
"19",19,-19.7703831282038,-2817.54960225325,-247.58452076645
"20",20,-17.5462703905476,-2705.05231716824,-217.983300530946
"21",21,-17.4196883463526,-1246.15532575602,-194.75847300556
"22",22,-17.4172865590605,-636.162436262633,-172.256705756803
"23",23,-16.8933911176116,-1899.90376017042,-156.518568686675
"24",24,-15.9979239266165,-2302.93347646909,-141.477169165941
"25",25,-15.7385712764626,-1942.19087271276,-124.277642105066
"26",26,-15.5026765226011,-3071.19112944521,-115.004393184381
"27",27,-15.5026765226011,-1490.93891985868,-108.201585581252
"28",28,-15.5026765226011,-2201.60264835144,-94.2699228131551
"29",29,-15.5026765226011,-2835.5461493641,-86.3816173191668
"30",30,-15.5026765226011,-1893.43028414392,-83.5984360592197
"31",31,-15.5026765226011,-2281.19085078639,-78.9514240352318
"32",32,-15.2689594575212,-1427.56080291829,-73.2889217073871
"33",33,-15.0071417274512,-2549.06404667274,-69.3855751181548
"34",34,-15.0071417274512,-1583.23269700592,-65.7942480048976
"35",35,-14.9853972704735,-2423.12071798836,-59.8660083650869
"36",36,-14.9673695833713,-1169.85201667687,-57.1536591757358
"37",37,-14.9673695833713,-1563.27420489872,-54.4100037530251
"38",38,-14.8877951503721,-3729.75368086065,-52.55528582408
"39",39,-14.8439190760378,-1913.27343804249,-51.3039951404572
"40",40,-14.8439190760378,-2343.20683034676,-48.8023144723839
"41",41,-13.5249711399238,-2694.72705072636,-48.5019221612374
"42",42,-13.5249711399238,-1756.8279170248,-48.5462246540104
"43",43,-13.0620879154801,-2701.3500749098,-46.8229944609064
"44",44,-13.0620879154801,-2719.72864202015,-44.504516453106
"45",45,-12.9363917772825,-3391.15519669278,-43.469205685756
"46",46,-12.9363917772825,-1756.54541705221,-43.3387023341193
"47",47,-12.9363917772825,-626.622697166091,-42.3450639391662
"48",48,-12.9363917772825,-3060.91979716648,-41.1799549496842
"49",49,-12.9363917772825,-1174.33399175869,-38.4941217869448
"50",50,-12.6090637797144,-1231.14335797063,-36.4299507934537
"51",51,-12.6090637797144,-1191.6886126391,-35.3307050790323
"52",52,-12.507410202767,-1893.87491860919,-33.6889705011939
"53",53,-12.507410202767,-1694.60213062503,-33.1953062359197
"54",54,-12.507410202767,-2131.63646689512,-33.1886638435486
"55",55,-12.507410202767,-1196.33739555983,-31.6285498374367
"56",56,-12.507410202767,-2077.12612904954,-30.6995891348915
"57",57,-12.507410202767,-1994.79907485925,-30.7565084694608
"58",58,-12.5058953660501,-2854.11707967566,-30.3115914108031
"59",59,-10.3918563536146,-902.339857205329,-30.7392259725071
"60",60,-10.3918563536146,-991.227082374424,-32.5254106594968
"61",61,-9.49315948307044,-395.87567468642,-34.4782486708689
"62",62,-9.05436121739846,-1266.11864805892,-31.6105066158351
"63",63,-9.05436121739846,-1407.20552425327,-30.6170511101879
"64",64,-9.01650002898651,-2398.03862847839,-31.3604843121242
"65",65,-8.34489081845617,-2292.89876007091,-32.4952902953538
"66",66,-8.34489081845617,-3113.86530292966,-32.4419732261787
"67",67,-8.34489081845617,-1573.84234209335,-31.8051847164308
"68",68,-8.23105699952721,-1640.6500406064,-28.7774891223509
"69",69,-8.17103666723023,-1085.47931943991,-28.1369395448881
"70",70,-8.1596390073807,-2505.92977227988,-28.8717855138136
"71",71,-8.06136650936082,-1571.37067087882,-27.0879726406787
"72",72,-7.96037370423472,-1407.72143206053,-26.5374414015066
"73",73,-7.96037370423472,-1250.93552501201,-23.9489913064787
"74",74,-7.93302523484178,-2314.58698386074,-21.9618221505785
"75",75,-7.93302523484178,-3072.85343579865,-18.8575065465154
"76",76,-7.81401388810117,-2391.28178752195,-18.5161813441832
"77",77,-7.81401388810117,-991.09938521931,-19.6033204810272
